2024-03-24 19:04:05 INFO  TestBase:106 - Clicked on [[EdgeDriver: MicrosoftEdge on WINDOWS (c8ca47e1e246289846ae692819f68e7b)] -> css selector: button#add-to-cart-sauce-labs-bike-light]
2024-03-24 19:04:05 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:05 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (c8ca47e1e246289846ae692819f68e7b)] -> css selector: a#item_1_title_link>div]
2024-03-24 19:04:05 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:05 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (c8ca47e1e246289846ae692819f68e7b)] -> css selector: a#item_1_title_link>div]
2024-03-24 19:04:05 INFO  TestBase:166 - Getting text
2024-03-24 19:04:05 INFO  TestBase:172 - Text retrieved
2024-03-24 19:04:05 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:05 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (c8ca47e1e246289846ae692819f68e7b)] -> css selector: a#item_3_title_link>div]
2024-03-24 19:04:05 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:05 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (c8ca47e1e246289846ae692819f68e7b)] -> css selector: a#item_3_title_link>div]
2024-03-24 19:04:05 INFO  TestBase:166 - Getting text
2024-03-24 19:04:06 INFO  TestBase:172 - Text retrieved
2024-03-24 19:04:06 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:06 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:07 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:07 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:08 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:08 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:09 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:09 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:10 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:11 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:11 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:12 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:12 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:13 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:13 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:14 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:14 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:15 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:16 INFO  TestBase:88 - Finding element: null
2024-03-24 19:04:16 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:19 INFO  TestBase:37 - Launching Edge browser
2024-03-24 19:07:24 INFO  TestBase:30 - Loading the page
2024-03-24 19:07:24 INFO  TestBase:40 - Navigating to url : https://www.saucedemo.com/
2024-03-24 19:07:25 INFO  TestBase:46 - Successfully navigated to url : https://www.saucedemo.com/
2024-03-24 19:07:25 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:25 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: input#user-name]
2024-03-24 19:07:26 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:26 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: input#user-name]
2024-03-24 19:07:26 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:26 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: input#password]
2024-03-24 19:07:27 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:27 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: input#password]
2024-03-24 19:07:27 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:27 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: input#login-button]
2024-03-24 19:07:27 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:28 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: input#login-button]
2024-03-24 19:07:28 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:28 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: input#login-button]
2024-03-24 19:07:28 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:28 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: select.product_sort_container]
2024-03-24 19:07:28 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:28 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: select.product_sort_container]
2024-03-24 19:07:28 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:28 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: select.product_sort_container]
2024-03-24 19:07:29 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:29 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: select.product_sort_container]
2024-03-24 19:07:29 INFO  TestBase:88 - Finding element: [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: select.product_sort_container]
2024-03-24 19:07:29 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: select.product_sort_container]
2024-03-24 19:07:29 INFO  TestBase:106 - Clicked on [[[[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: select.product_sort_container]] -> xpath: .//option[@value = "lohi"]]
2024-03-24 19:07:29 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:29 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: button#add-to-cart-sauce-labs-bolt-t-shirt]
2024-03-24 19:07:29 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:29 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: button#add-to-cart-sauce-labs-bolt-t-shirt]
2024-03-24 19:07:29 INFO  TestBase:88 - Finding element: null
2024-03-24 19:07:29 INFO  TestBase:94 - Element found [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: button#add-to-cart-sauce-labs-bolt-t-shirt]
2024-03-24 19:07:29 INFO  TestBase:106 - Clicked on [[EdgeDriver: MicrosoftEdge on WINDOWS (84970732367634d56912998ab06d9158)] -> css selector: button#add-to-cart-sauce-labs-bolt-t-shirt]
2024-03-24 19:07:29 INFO  TestBase:88 - Finding element: null
